distance_km,restaurant_rating,weather,time_of_day,delivery_speed_kmph,active_orders_queue,restaurant_prep_time_min,traffic_level,area_type,delivery_time_minutes
3.12,4.4,sunny,peak,31.27,12,26,high,urban,55
11.61,4.1,cloudy,off-peak,35.52,12,37,low,urban,78
5.41,3.1,cloudy,peak,30.1,14,36,medium,urban,73
3.05,2.7,rainy,peak,15.59,2,35,medium,suburban,58
6.61,4.3,sunny,peak,38.06,10,19,medium,urban,47
12.01,3.9,rainy,off-peak,39.53,10,14,low,urban,53
7.24,3.0,sunny,off-peak,13.83,14,6,medium,urban,61
8.29,4.8,rainy,peak,11.68,8,31,low,suburban,92
14.93,3.9,cloudy,off-peak,10.77,10,17,low,suburban,118
6.29,3.9,rainy,off-peak,34.15,8,24,high,rural,57
9.42,3.2,sunny,peak,34.16,17,24,low,urban,67
5.8,4.7,sunny,off-peak,39.32,12,21,medium,urban,51
6.2,4.7,sunny,off-peak,18.22,3,23,medium,urban,51
10.59,4.3,sunny,peak,21.06,14,13,medium,urban,67
14.1,2.7,sunny,peak,17.49,3,10,medium,urban,66
8.36,2.7,cloudy,off-peak,14.29,1,27,medium,rural,69
11.64,3.7,cloudy,peak,18.91,0,15,medium,urban,57
1.79,2.9,sunny,peak,10.5,3,37,high,urban,57
3.56,3.3,cloudy,off-peak,11.39,10,36,low,suburban,73
7.78,2.9,cloudy,off-peak,36.57,8,37,low,urban,65
0.79,3.3,sunny,peak,38.82,18,21,high,suburban,54
4.17,4.9,cloudy,peak,35.54,11,28,high,suburban,59
8.0,4.4,sunny,off-peak,34.06,3,8,low,urban,28
0.72,2.8,cloudy,off-peak,39.52,15,39,medium,urban,68
4.34,4.2,sunny,off-peak,21.65,19,14,high,urban,60
7.95,2.6,sunny,peak,39.56,5,22,medium,urban,45
8.81,5.0,sunny,off-peak,20.97,0,31,high,suburban,61
13.92,3.8,sunny,peak,27.82,6,28,low,urban,68
9.86,3.8,sunny,peak,35.43,16,31,medium,urban,75
6.51,3.1,sunny,off-peak,18.86,19,24,low,urban,74
13.99,3.6,sunny,off-peak,31.65,18,21,high,suburban,80
11.88,3.8,cloudy,off-peak,20.95,9,31,high,urban,86
3.4,4.1,sunny,peak,39.34,1,37,medium,urban,47
2.4,2.6,rainy,off-peak,16.86,12,7,low,urban,40
10.3,3.4,sunny,peak,10.8,2,19,medium,suburban,82
8.62,3.5,sunny,peak,25.97,18,23,low,suburban,71
11.95,2.9,sunny,off-peak,15.03,2,12,medium,urban,66
11.21,3.1,sunny,peak,19.58,0,10,low,suburban,45
9.57,3.1,cloudy,off-peak,37.99,10,15,medium,urban,50
14.8,4.5,cloudy,off-peak,39.45,6,35,medium,urban,72
8.24,4.2,sunny,peak,12.72,11,35,medium,rural,93
2.14,4.8,sunny,peak,38.9,11,10,medium,urban,33
12.51,3.3,rainy,off-peak,23.69,13,13,low,suburban,70
4.15,4.7,sunny,peak,16.78,12,14,medium,suburban,50
11.77,4.7,rainy,peak,13.34,18,19,high,urban,109
14.38,3.6,sunny,off-peak,12.81,8,33,medium,urban,115
10.6,4.1,sunny,off-peak,29.27,3,5,low,urban,32
9.14,4.0,sunny,off-peak,25.7,13,20,medium,suburban,64
7.18,3.3,sunny,off-peak,21.89,1,17,low,urban,39
5.78,3.2,cloudy,off-peak,29.47,6,23,low,urban,47
5.62,2.9,cloudy,peak,13.99,8,31,low,urban,70
9.73,4.6,rainy,off-peak,20.93,8,38,medium,suburban,86
11.39,3.8,rainy,peak,30.5,19,34,medium,rural,93
10.34,3.3,cloudy,off-peak,35.31,13,29,medium,urban,71
3.38,3.8,sunny,peak,24.93,0,24,low,urban,33
7.66,2.7,sunny,off-peak,33.2,7,13,high,urban,42
11.98,2.8,cloudy,off-peak,17.39,13,7,low,urban,71
7.4,4.4,rainy,peak,12.03,18,38,medium,suburban,110
8.28,4.8,cloudy,peak,18.3,17,12,medium,suburban,70
11.68,3.3,sunny,off-peak,36.33,13,29,medium,urban,71
10.09,3.5,cloudy,off-peak,29.95,15,15,medium,suburban,63
6.44,3.4,cloudy,off-peak,29.59,14,24,medium,suburban,63
13.48,3.7,sunny,off-peak,26.26,18,11,low,suburban,70
2.86,3.5,sunny,off-peak,38.6,7,35,low,suburban,51
14.93,3.5,sunny,off-peak,24.62,0,9,medium,urban,48
2.22,4.1,sunny,peak,13.62,16,22,medium,urban,59
0.72,3.2,sunny,peak,19.12,7,14,high,urban,32
13.41,4.9,rainy,off-peak,30.68,10,9,medium,urban,58
4.05,3.3,sunny,peak,20.89,16,24,low,urban,61
11.08,3.0,sunny,off-peak,29.95,19,33,medium,suburban,87
12.26,4.9,sunny,peak,10.37,9,37,medium,rural,124
12.96,3.1,sunny,peak,31.73,12,26,medium,suburban,72
14.88,3.8,rainy,off-peak,37.85,6,21,high,urban,64
4.76,3.3,rainy,peak,11.69,3,26,low,urban,61
10.8,2.7,sunny,peak,14.01,19,32,low,urban,108
2.17,4.9,sunny,peak,15.56,11,20,high,suburban,50
6.4,3.4,sunny,off-peak,31.88,5,12,low,urban,33
12.8,4.1,sunny,off-peak,38.14,16,37,medium,urban,84
5.83,4.7,sunny,peak,16.33,15,14,medium,urban,61
9.07,3.9,sunny,off-peak,23.89,9,33,medium,rural,72
7.8,4.3,sunny,peak,13.46,10,32,high,rural,87
9.87,4.5,cloudy,peak,32.31,4,26,medium,urban,55
14.61,3.5,cloudy,peak,36.54,13,5,low,urban,51
1.31,4.1,cloudy,off-peak,15.29,10,37,low,urban,60
8.82,3.0,sunny,off-peak,39.66,10,21,medium,suburban,52
13.01,2.6,sunny,peak,27.03,11,25,low,urban,71
7.48,5.0,sunny,peak,11.51,7,18,medium,suburban,70
1.64,2.7,sunny,off-peak,38.88,1,13,medium,urban,20
8.63,3.6,sunny,peak,27.31,17,33,high,urban,82
5.32,2.7,rainy,off-peak,31.36,4,5,low,urban,27
2.75,4.8,sunny,off-peak,33.82,8,21,medium,rural,41
12.81,2.8,rainy,peak,37.51,8,30,low,suburban,68
8.06,4.5,rainy,off-peak,36.37,8,21,medium,urban,54
14.03,4.3,sunny,off-peak,26.12,16,27,medium,suburban,86
12.19,2.6,rainy,peak,15.85,15,6,medium,rural,83
10.55,4.3,cloudy,peak,25.34,1,33,medium,urban,64
0.57,4.9,sunny,peak,22.59,10,6,low,urban,24
6.7,3.8,sunny,off-peak,25.91,15,6,medium,suburban,47
3.36,3.2,cloudy,off-peak,33.53,1,18,medium,urban,31
13.71,3.9,rainy,off-peak,30.65,1,36,medium,suburban,72
3.03,2.8,sunny,off-peak,23.05,7,38,high,urban,61
4.65,4.9,sunny,off-peak,38.72,9,29,medium,urban,53
7.99,3.4,sunny,off-peak,23.85,5,32,low,suburban,61
4.32,3.6,sunny,off-peak,14.44,9,10,medium,suburban,44
3.54,3.5,rainy,off-peak,20.08,19,32,high,rural,81
9.19,2.6,sunny,peak,19.52,14,8,low,urban,58
1.79,2.6,sunny,off-peak,14.64,1,34,medium,suburban,46
1.34,3.9,sunny,off-peak,17.34,15,9,low,suburban,37
5.9,3.8,sunny,off-peak,23.86,16,9,high,suburban,53
10.95,5.0,sunny,peak,20.69,3,30,medium,suburban,69
8.54,3.2,sunny,peak,29.27,4,23,medium,urban,50
6.63,3.4,rainy,peak,29.48,6,18,high,urban,50
8.7,5.0,rainy,off-peak,18.07,7,30,medium,urban,77
5.8,2.6,sunny,off-peak,13.55,8,35,low,urban,74
14.07,4.1,rainy,off-peak,24.18,14,36,low,rural,98
1.3,2.8,sunny,peak,31.92,10,36,medium,urban,56
10.26,4.9,sunny,peak,21.98,4,27,low,rural,62
13.42,3.2,sunny,peak,22.17,0,7,high,suburban,48
12.16,4.5,sunny,peak,35.31,4,11,medium,suburban,41
3.17,4.8,sunny,peak,28.81,5,30,medium,urban,47
4.79,4.6,rainy,off-peak,21.46,3,18,medium,rural,44
10.9,3.9,sunny,peak,17.03,14,21,low,suburban,81
1.72,4.9,sunny,off-peak,37.01,7,12,medium,suburban,28
12.27,4.2,sunny,off-peak,31.17,1,20,low,urban,46
10.92,4.5,rainy,off-peak,27.42,13,8,medium,suburban,59
11.08,3.1,sunny,peak,31.42,7,20,medium,urban,55
1.95,3.5,rainy,off-peak,35.26,1,17,medium,urban,30
10.91,4.0,sunny,peak,31.19,11,5,high,urban,47
10.36,2.9,sunny,off-peak,35.3,12,6,medium,urban,45
12.55,4.9,sunny,off-peak,22.26,2,7,medium,urban,47
1.1,2.8,sunny,peak,25.43,12,19,medium,suburban,43
0.84,4.3,sunny,off-peak,21.44,18,29,high,urban,63
5.91,2.6,rainy,off-peak,15.85,4,14,medium,rural,50
2.66,2.8,sunny,peak,33.49,16,29,medium,suburban,61
8.6,4.1,sunny,off-peak,18.78,11,9,high,urban,58
13.8,3.6,sunny,off-peak,26.95,6,33,low,urban,74
6.18,2.5,sunny,off-peak,21.02,17,25,medium,urban,71
12.75,3.5,cloudy,peak,15.27,3,22,medium,urban,82
0.5,3.1,rainy,off-peak,39.66,0,25,medium,urban,34
2.94,4.7,cloudy,off-peak,39.82,6,28,low,urban,44
0.94,4.3,rainy,off-peak,25.55,16,30,low,urban,62
5.26,4.3,rainy,off-peak,15.32,7,20,low,rural,57
13.67,4.9,sunny,off-peak,39.3,10,5,high,urban,46
1.91,4.3,sunny,peak,33.03,10,24,medium,urban,45
9.29,2.9,sunny,off-peak,18.53,11,17,medium,rural,67
7.05,4.8,sunny,off-peak,14.73,13,32,medium,suburban,83
14.11,2.8,rainy,off-peak,10.47,3,6,low,urban,97
2.28,3.0,cloudy,off-peak,35.72,4,28,medium,urban,43
3.57,3.2,rainy,peak,11.92,1,35,low,urban,60
0.93,2.9,sunny,off-peak,28.72,10,14,high,suburban,36
6.79,2.5,sunny,off-peak,29.86,3,24,low,urban,43
4.53,3.6,rainy,off-peak,11.45,9,6,high,urban,53
13.11,4.2,sunny,off-peak,26.4,9,5,medium,suburban,51
9.27,3.6,rainy,off-peak,28.45,5,31,medium,urban,66
9.4,3.1,rainy,off-peak,17.83,2,14,low,urban,55
8.21,4.7,sunny,peak,17.67,11,12,low,suburban,57
1.83,3.5,sunny,peak,30.78,13,26,high,suburban,54
6.95,4.6,sunny,off-peak,35.95,14,29,medium,suburban,65
14.99,2.9,rainy,off-peak,39.78,5,11,low,urban,47
12.61,3.3,cloudy,off-peak,37.56,15,28,medium,rural,76
13.46,4.5,cloudy,off-peak,22.69,8,17,high,suburban,72
12.44,2.6,sunny,off-peak,37.49,18,19,medium,suburban,69
1.99,4.8,sunny,off-peak,30.82,17,11,medium,urban,43
3.8,3.5,sunny,peak,22.89,9,37,high,urban,65
0.55,4.9,sunny,peak,20.21,14,9,low,urban,33
4.9,4.3,sunny,peak,27.71,11,20,medium,rural,50
2.07,4.9,sunny,peak,32.21,2,16,low,suburban,24
7.36,2.7,sunny,peak,34.72,13,9,high,rural,46
10.32,4.3,cloudy,peak,20.43,6,7,medium,rural,51
13.18,4.7,sunny,off-peak,11.52,4,5,low,suburban,81
11.36,5.0,sunny,off-peak,31.02,10,24,low,rural,62
14.11,2.6,sunny,off-peak,34.12,7,36,high,urban,76
1.28,2.7,sunny,off-peak,36.1,12,25,low,urban,46
0.68,4.3,rainy,off-peak,11.59,1,17,medium,urban,30
10.09,2.6,sunny,off-peak,31.38,8,39,medium,urban,73
4.7,2.5,sunny,off-peak,17.33,12,8,low,urban,43
4.18,3.9,sunny,off-peak,26.08,8,37,medium,urban,62
5.3,3.8,sunny,peak,16.54,4,18,low,urban,44
4.41,4.0,sunny,peak,28.32,9,38,high,urban,66
7.92,2.5,sunny,peak,11.15,2,36,high,urban,87
6.88,3.8,cloudy,off-peak,39.46,8,17,high,suburban,46
7.93,3.2,rainy,off-peak,17.05,19,23,medium,urban,87
10.25,4.4,cloudy,off-peak,39.81,14,39,medium,rural,80
6.11,3.4,sunny,peak,33.12,10,22,high,urban,53
4.14,3.4,cloudy,peak,16.85,9,17,medium,urban,50
2.91,4.1,cloudy,off-peak,31.97,9,32,low,urban,54
5.57,4.2,rainy,peak,22.85,1,25,high,urban,51
11.26,2.6,cloudy,peak,35.85,4,13,high,urban,45
11.47,4.1,cloudy,off-peak,38.34,3,16,medium,rural,43
10.17,4.1,rainy,peak,27.43,11,29,medium,urban,76
3.89,3.6,sunny,off-peak,35.42,14,30,medium,urban,61
9.03,4.6,rainy,peak,10.55,14,31,high,urban,113
8.78,2.5,rainy,peak,14.48,14,19,medium,urban,84
7.52,4.9,sunny,off-peak,30.82,15,7,high,urban,49
8.47,3.4,sunny,off-peak,25.27,6,17,medium,urban,49
7.63,4.0,cloudy,off-peak,20.48,18,18,medium,urban,72
8.7,2.6,rainy,peak,28.11,17,35,low,urban,85
10.87,4.3,sunny,peak,13.12,2,14,medium,urban,70
2.09,3.9,sunny,off-peak,16.94,2,11,low,urban,22
11.37,4.9,sunny,off-peak,34.86,3,18,high,suburban,47
2.47,3.6,sunny,peak,15.07,17,28,low,urban,64
1.47,4.3,rainy,off-peak,38.92,4,28,medium,urban,44
14.65,2.7,sunny,off-peak,10.12,12,16,medium,urban,124
14.38,2.7,rainy,off-peak,16.44,15,27,low,urban,108
1.38,4.9,sunny,peak,33.92,18,29,high,urban,63
6.93,3.1,sunny,off-peak,37.03,12,20,low,urban,50
3.2,4.8,sunny,peak,30.41,3,26,low,urban,38
7.54,2.7,rainy,peak,39.03,14,39,low,urban,78
12.54,4.1,rainy,off-peak,14.1,5,37,low,suburban,104
14.28,3.9,rainy,off-peak,37.61,18,15,low,urban,71
9.7,4.9,rainy,off-peak,15.85,6,17,medium,urban,71
5.63,3.5,sunny,off-peak,27.3,12,19,low,suburban,50
9.25,2.6,sunny,peak,23.56,6,12,low,suburban,46
5.02,3.7,sunny,off-peak,38.36,9,5,medium,urban,29
13.69,4.6,sunny,off-peak,25.7,14,33,high,urban,91
13.12,2.6,rainy,off-peak,16.35,16,31,low,urban,109
8.59,2.6,sunny,off-peak,37.22,14,39,medium,rural,77
5.21,4.6,rainy,off-peak,21.39,19,8,medium,urban,59
4.75,4.6,sunny,peak,21.38,8,11,low,urban,37
0.98,3.0,rainy,peak,19.84,11,34,medium,suburban,61
12.33,4.1,sunny,peak,26.91,6,26,low,suburban,63
7.03,2.7,sunny,off-peak,13.2,11,24,high,urban,77
5.21,4.4,cloudy,off-peak,32.33,16,8,high,urban,49
7.33,3.3,rainy,peak,17.92,1,19,medium,urban,53
12.37,3.1,sunny,peak,28.46,4,12,medium,urban,47
2.31,4.2,sunny,peak,12.17,9,27,medium,rural,55
12.94,4.8,cloudy,peak,10.56,7,24,high,urban,115
13.51,2.6,sunny,peak,15.28,3,33,low,urban,92
14.23,2.9,sunny,peak,20.96,5,18,low,rural,67
6.26,3.1,cloudy,peak,28.64,18,30,medium,urban,75
3.65,4.8,sunny,peak,11.92,8,20,medium,urban,53
5.92,4.7,cloudy,off-peak,39.56,7,6,medium,urban,30
5.33,4.8,sunny,peak,18.45,7,24,high,rural,57
3.05,3.4,sunny,peak,34.65,3,39,medium,rural,52
9.31,3.1,rainy,off-peak,38.27,16,12,low,urban,57
7.41,3.0,sunny,peak,12.34,6,37,high,urban,87
13.05,4.7,sunny,off-peak,30.85,3,22,low,urban,53
0.97,3.1,sunny,peak,14.17,11,38,medium,urban,62
9.84,3.8,cloudy,off-peak,11.93,15,31,high,suburban,110
11.56,3.3,cloudy,peak,13.34,10,6,medium,suburban,78
11.51,3.7,sunny,peak,25.57,19,13,high,urban,74
13.35,3.4,cloudy,peak,37.82,13,27,medium,suburban,73
11.07,3.2,sunny,peak,14.51,2,13,low,urban,63
13.95,3.6,cloudy,off-peak,11.26,14,36,medium,urban,136
5.32,3.3,rainy,off-peak,33.65,19,15,medium,urban,61
7.8,4.6,cloudy,peak,15.14,4,19,high,urban,63
0.7,4.0,cloudy,off-peak,23.81,10,39,medium,suburban,61
0.6,2.9,sunny,peak,24.56,18,10,medium,suburban,41
3.98,3.1,sunny,peak,11.75,10,23,low,suburban,59
1.96,2.6,sunny,peak,25.78,7,20,medium,suburban,38
4.27,3.2,sunny,peak,23.78,2,9,medium,urban,26
3.07,4.2,rainy,peak,32.14,13,13,high,urban,48
0.91,3.0,sunny,off-peak,25.9,5,24,low,urban,35
13.68,2.7,rainy,peak,28.04,19,29,medium,suburban,95
0.62,3.3,sunny,peak,28.48,11,36,medium,suburban,57
11.17,4.0,sunny,peak,29.45,2,38,medium,urban,67
2.71,3.7,sunny,peak,31.32,2,31,low,urban,40
13.73,3.3,sunny,off-peak,33.06,19,18,medium,urban,74
13.45,4.7,sunny,off-peak,33.63,13,37,low,urban,81
9.98,3.7,sunny,peak,33.27,4,23,low,urban,48
10.25,3.6,sunny,off-peak,13.29,11,9,medium,urban,75
0.58,2.6,sunny,off-peak,10.58,4,5,medium,urban,17
14.78,4.1,sunny,off-peak,37.97,19,9,low,urban,62
13.23,3.6,sunny,peak,15.6,11,9,high,urban,81
13.48,2.9,rainy,off-peak,27.86,2,14,high,suburban,56
10.06,3.1,cloudy,off-peak,16.63,8,34,medium,urban,87
5.5,3.0,sunny,peak,36.66,4,27,medium,urban,45
13.46,2.8,rainy,off-peak,28.64,5,37,high,urban,83
4.73,3.6,rainy,off-peak,16.13,13,12,medium,suburban,57
8.66,3.4,rainy,off-peak,37.31,18,30,low,urban,77
1.95,3.4,cloudy,peak,29.31,4,34,medium,rural,49
13.87,3.1,sunny,peak,25.95,16,17,medium,urban,76
2.54,3.6,sunny,peak,12.24,12,13,medium,urban,46
3.76,3.9,rainy,off-peak,23.91,5,21,medium,urban,46
8.59,4.0,rainy,off-peak,14.24,8,26,high,urban,84
11.58,3.0,sunny,off-peak,33.63,7,18,medium,suburban,52
9.48,4.3,sunny,peak,31.54,13,39,medium,rural,80
3.87,2.6,sunny,off-peak,37.81,13,18,high,urban,49
0.51,4.4,sunny,off-peak,31.71,7,20,low,urban,32
11.48,3.2,rainy,peak,28.08,19,33,medium,urban,94
14.79,3.4,cloudy,off-peak,31.06,9,26,low,suburban,71
12.24,4.0,cloudy,off-peak,16.57,7,27,medium,urban,87
7.17,4.0,cloudy,off-peak,24.23,15,12,low,urban,55
13.6,3.6,cloudy,off-peak,29.1,1,32,low,urban,65
6.44,4.8,sunny,peak,12.39,14,26,low,urban,79
8.11,4.6,sunny,off-peak,31.83,18,8,medium,urban,53
7.42,3.1,sunny,off-peak,21.13,9,24,high,urban,64
6.99,4.0,sunny,off-peak,19.63,19,14,low,urban,65
11.74,4.3,sunny,peak,29.14,16,29,high,urban,82
8.14,3.0,cloudy,off-peak,36.16,17,21,medium,suburban,65
5.09,2.5,sunny,peak,18.7,8,30,high,urban,63
4.24,4.9,sunny,off-peak,30.99,17,27,medium,urban,64
1.05,4.9,sunny,peak,31.06,4,29,low,urban,38
8.96,3.3,sunny,off-peak,30.5,1,14,medium,urban,36
3.83,3.1,sunny,peak,33.76,14,18,medium,urban,49
2.65,2.9,rainy,peak,27.27,0,30,medium,urban,44
9.98,4.2,cloudy,off-peak,39.93,0,15,medium,suburban,35
10.38,4.4,sunny,off-peak,25.58,18,23,medium,suburban,77
11.41,3.6,sunny,peak,25.08,14,23,medium,urban,74
7.8,3.1,sunny,peak,10.68,19,33,medium,urban,108
13.46,3.6,sunny,peak,33.55,17,25,low,suburban,76
14.08,3.8,sunny,off-peak,38.45,16,12,medium,rural,61
12.21,3.9,rainy,off-peak,26.07,17,24,low,suburban,84
9.72,3.6,rainy,peak,19.78,10,6,high,urban,60
4.9,2.5,sunny,off-peak,20.76,2,39,medium,suburban,59
14.75,3.7,rainy,peak,37.9,12,20,medium,urban,69
4.47,3.4,cloudy,off-peak,29.46,13,22,low,suburban,54
3.44,3.9,sunny,peak,37.26,14,36,low,urban,64
6.91,2.7,cloudy,off-peak,29.61,11,15,low,rural,49
1.32,4.7,sunny,off-peak,21.58,19,8,medium,urban,43
14.69,4.7,sunny,peak,22.99,6,18,low,rural,66
9.03,3.9,sunny,off-peak,25.87,3,9,low,urban,35
8.58,4.3,rainy,off-peak,27.67,15,34,medium,rural,83
10.01,3.6,sunny,peak,28.24,11,16,medium,urban,57
7.71,4.0,rainy,peak,23.56,18,16,medium,suburban,71
0.96,4.0,sunny,off-peak,11.16,16,13,low,urban,43
9.38,3.4,sunny,peak,28.42,11,6,low,urban,43
10.88,4.9,rainy,peak,25.07,11,14,low,urban,63
6.54,4.0,sunny,off-peak,30.18,15,31,medium,urban,70
11.48,5.0,cloudy,peak,31.8,0,24,medium,suburban,51
3.79,3.6,sunny,off-peak,19.84,8,19,low,urban,43
3.71,2.6,sunny,peak,18.0,14,26,high,urban,64
2.84,3.3,sunny,off-peak,14.55,8,10,low,rural,35
5.89,4.1,cloudy,peak,25.92,11,21,high,urban,58
12.78,4.8,cloudy,off-peak,11.96,3,34,high,urban,110
12.5,4.0,sunny,off-peak,39.24,2,26,medium,urban,51
6.05,3.7,sunny,peak,13.06,7,23,low,urban,62
9.04,2.7,rainy,peak,21.76,6,17,medium,urban,59
10.95,2.9,sunny,peak,11.96,9,34,high,rural,107
4.0,2.6,rainy,off-peak,38.02,0,15,medium,urban,29
2.94,4.3,rainy,off-peak,17.61,13,16,low,suburban,52
14.6,4.6,sunny,off-peak,39.28,1,28,low,urban,53
9.45,2.9,rainy,off-peak,37.89,17,18,medium,rural,66
14.73,3.3,rainy,peak,25.83,5,21,low,suburban,69
5.4,3.7,rainy,peak,38.87,18,11,low,suburban,52
10.69,2.9,rainy,off-peak,19.17,3,13,low,suburban,57
3.73,3.5,rainy,peak,28.67,4,32,medium,suburban,54
4.29,4.9,sunny,off-peak,16.36,11,18,medium,suburban,53
7.92,4.3,sunny,off-peak,35.61,9,35,high,urban,67
5.13,2.9,sunny,peak,27.77,11,18,medium,suburban,49
2.93,2.7,sunny,peak,37.45,15,29,low,urban,57
4.31,3.6,cloudy,off-peak,28.02,6,24,high,suburban,49
1.02,5.0,cloudy,peak,28.27,12,6,medium,urban,31
10.71,4.5,sunny,peak,32.03,8,33,high,urban,70
7.64,3.2,rainy,peak,11.55,7,8,low,suburban,64
1.87,2.6,sunny,off-peak,23.77,7,26,high,urban,46
2.99,3.5,sunny,off-peak,16.64,7,32,high,urban,58
1.99,2.9,sunny,peak,38.03,13,19,low,suburban,43
9.38,3.0,sunny,off-peak,37.09,12,10,medium,urban,46
1.87,2.9,rainy,off-peak,33.47,17,11,low,urban,46
11.44,4.3,cloudy,peak,37.39,6,16,low,urban,46
0.8,2.6,rainy,peak,36.1,18,30,medium,urban,66
4.12,3.9,sunny,peak,27.15,5,14,medium,urban,34
13.41,4.4,sunny,off-peak,38.59,2,22,medium,rural,49
10.92,2.9,sunny,off-peak,25.41,5,10,medium,suburban,46
1.56,4.7,sunny,peak,39.58,3,15,high,suburban,27
12.41,2.7,sunny,peak,38.85,10,25,medium,urban,62
7.65,4.2,sunny,peak,37.95,8,22,low,suburban,47
12.78,2.9,cloudy,off-peak,20.09,1,25,low,urban,68
9.21,4.5,sunny,peak,19.54,1,20,low,suburban,51
10.39,3.9,sunny,peak,23.38,13,25,medium,urban,74
14.91,4.0,sunny,off-peak,15.43,17,20,medium,urban,106
3.87,3.4,cloudy,peak,13.53,5,29,high,rural,61
9.55,3.2,sunny,off-peak,30.57,19,13,low,urban,61
7.17,3.7,cloudy,off-peak,22.45,8,16,low,rural,50
1.07,4.4,sunny,off-peak,28.34,2,22,medium,suburban,30
0.71,2.9,cloudy,off-peak,18.8,4,23,high,urban,38
2.23,4.5,sunny,off-peak,20.0,0,11,medium,suburban,21
9.91,3.7,sunny,peak,30.31,18,7,low,suburban,55
8.72,3.6,sunny,peak,18.03,11,28,medium,urban,77
8.52,2.5,cloudy,off-peak,14.64,16,25,medium,urban,89
0.96,2.8,cloudy,peak,37.59,15,10,medium,suburban,39
7.3,3.6,sunny,off-peak,32.17,19,18,medium,suburban,63
13.91,5.0,sunny,peak,14.79,3,31,high,urban,97
6.27,3.1,sunny,peak,16.58,17,13,low,rural,62
9.56,2.5,cloudy,off-peak,19.87,8,34,low,urban,78
11.81,3.6,sunny,off-peak,24.49,16,10,medium,urban,66
11.87,2.5,cloudy,peak,12.67,16,33,medium,urban,118
8.03,3.3,sunny,off-peak,16.28,17,23,medium,urban,81
12.94,3.4,rainy,peak,10.41,13,37,high,urban,141
6.17,2.5,rainy,off-peak,27.92,14,9,medium,urban,51
13.39,4.4,sunny,peak,34.96,17,17,medium,suburban,68
3.98,4.8,rainy,peak,15.37,5,18,medium,suburban,49
4.56,5.0,cloudy,off-peak,36.53,14,14,high,suburban,49
1.27,3.8,sunny,off-peak,21.98,15,29,medium,urban,58
12.04,3.3,rainy,peak,19.61,9,39,medium,suburban,97
6.55,4.3,sunny,peak,16.64,3,9,medium,suburban,40
3.82,4.3,rainy,peak,39.37,8,37,low,rural,61
3.86,3.4,cloudy,peak,17.49,16,32,high,suburban,76
13.57,3.9,cloudy,off-peak,21.04,7,36,medium,rural,90
12.59,4.6,sunny,off-peak,12.8,10,23,low,urban,98
8.53,3.0,rainy,off-peak,39.08,0,38,medium,suburban,59
9.43,2.6,sunny,peak,11.25,16,32,medium,urban,109
7.38,3.8,sunny,peak,21.1,12,8,low,urban,48
6.18,4.2,sunny,off-peak,15.98,17,12,medium,suburban,64
13.77,3.9,rainy,off-peak,19.58,19,38,high,suburban,119
2.32,4.0,sunny,peak,14.37,12,13,medium,urban,44
6.57,3.5,sunny,peak,18.29,7,26,low,urban,59
5.5,4.1,sunny,peak,19.91,1,7,low,suburban,26
7.72,2.6,cloudy,off-peak,18.15,5,10,high,urban,50
7.14,2.9,sunny,peak,27.99,13,6,high,urban,46
8.02,3.6,sunny,peak,22.43,3,35,high,urban,66
2.53,4.9,sunny,off-peak,18.02,7,36,medium,urban,58
7.94,4.1,rainy,off-peak,25.89,13,38,high,urban,86
4.02,3.4,sunny,peak,18.79,11,10,medium,suburban,42
3.17,3.6,sunny,off-peak,29.67,0,36,low,suburban,43
1.44,4.6,sunny,peak,35.87,10,6,low,urban,24
11.56,3.9,rainy,peak,36.28,18,38,medium,urban,92
6.7,2.6,sunny,off-peak,14.5,19,12,low,urban,69
9.59,3.5,rainy,peak,12.31,7,29,medium,urban,94
11.05,3.5,sunny,peak,32.48,10,14,medium,urban,52
10.35,4.7,cloudy,peak,37.63,14,9,medium,rural,52
7.32,3.3,sunny,peak,25.89,8,33,medium,urban,65
6.12,2.7,rainy,peak,12.16,11,29,medium,suburban,84
5.95,3.4,cloudy,off-peak,30.58,1,35,high,suburban,55
9.78,2.6,sunny,off-peak,14.11,15,24,low,suburban,89
7.67,4.6,cloudy,off-peak,22.84,4,33,low,urban,62
12.81,4.0,sunny,peak,30.44,8,11,low,suburban,49
13.18,3.7,sunny,off-peak,35.88,4,34,medium,suburban,65
2.97,3.4,sunny,off-peak,25.52,2,35,medium,rural,48
2.48,3.5,cloudy,peak,19.77,1,27,medium,urban,41
9.64,4.5,rainy,off-peak,24.87,13,27,high,rural,80
4.87,3.0,cloudy,off-peak,14.87,4,36,high,suburban,69
0.77,2.7,rainy,off-peak,24.0,18,11,low,suburban,46
13.39,3.9,sunny,off-peak,28.28,18,11,low,urban,67
3.79,4.6,sunny,off-peak,18.21,16,31,medium,urban,70
13.97,3.9,cloudy,off-peak,22.42,8,19,low,urban,71
10.9,4.5,sunny,off-peak,38.19,1,13,high,urban,37
11.56,4.7,sunny,peak,10.64,0,36,high,suburban,106
3.42,2.7,sunny,off-peak,35.87,0,18,high,suburban,29
3.9,4.0,cloudy,off-peak,34.72,4,5,low,urban,21
8.06,4.6,sunny,off-peak,20.41,5,23,medium,urban,57
3.0,4.1,sunny,peak,18.94,15,14,medium,urban,49
4.93,4.0,sunny,peak,31.21,13,23,low,urban,53
