services,ride_status,source,destination,duration,ride_id,distance,ride_charge,misc_charge,total_fare,payment_method,datetime
auto,completed,JP Nagar 9th Phase,Sarjapur Road,93,RD4467767817916162,48.29,124.32,48.76,173.08,phonePy,2024-06-27 14:49:20
bike,completed,Jayanagar 2nd Block,Jayanagar 8th Block East,70,RD8581405600757150,19.01,678.91,47.63,726.54,Paytm,2024-07-23 20:58:20
auto,completed,HSR Layout Sector 2,Frazer Town,111,RD2575299139234640,8.31,502.04,36.13,538.17,phonePy,2024-06-25 12:46:20
cab economy,completed,HSR Layout Sector 5,MG Road Brigade Road,17,RD8777461941715640,24.99,289.44,32.59,322.03,GPay,2024-06-24 19:50:20
bike,completed,KR Puram,Brigade Road Central,8,RD1446602338638471,2.89,529.66,0.12,529.78,QR scan,2024-07-13 10:38:20
parcel,completed,Whitefield South,Nayandahalli,92,RD9147841752264548,30.02,699.1,24.62,723.72,Amazon Pay,2024-07-19 11:39:20
cab premium,completed,Malleshwaram 9th Block,Malleshwaram 4th Block,31,RD9228101567452147,13.75,516.5,11.62,528.12,Amazon Pay,2024-06-29 17:58:20
auto,completed,Marathahalli,Kammanahalli,70,RD4257075998244252,47.33,202.28,10.32,212.6,Amazon Pay,2024-07-18 00:47:20
parcel,completed,Jayanagar 1st Block East,MG Road Central,88,RD1556965430080566,47.75,264.27,44.52,308.79,GPay,2024-07-14 23:31:20
auto,completed,Nagarbhavi 2nd Stage,MG Road Central,103,RD4112378111819433,40.25,80.64,45.18,125.82,GPay,2024-07-10 00:46:20
cab premium,completed,Sahakar Nagar,Yelahanka,51,RD8974682187023361,38.27,417.08,37.96,455.04,GPay,2024-07-03 21:52:20
parcel,completed,Benson Town,JP Nagar Central,86,RD2183333192462485,21.52,778.17,48.53,826.7,GPay,2024-07-23 16:40:20
cab premium,completed,Whitefield Mahadevapura,JP Nagar South,55,RD3130444398310237,40.29,168.27,19.16,187.43,Amazon Pay,2024-07-07 07:22:20
cab economy,completed,HSR Layout Sector 7,JP Nagar 8th Phase,108,RD8659895410342866,7.63,341.5,28.06,369.56,GPay,2024-06-29 15:20:20
auto,completed,Brigade Road Forum Mall,HSR Layout Sector 1,99,RD6668740143872687,39.98,904.74,30.26,935.0,Paytm,2024-07-04 09:40:20
bike lite,completed,Marathahalli Bridge,Whitefield East,79,RD5688523519001590,39.84,826.32,6.74,833.06,Amazon Pay,2024-06-29 18:54:20
bike,completed,RT Nagar,Brigade Road East,95,RD8378406374517050,8.58,896.78,6.67,903.45,phonePy,2024-07-03 04:56:20
bike lite,completed,MG Road Commercial Street,Whitefield North,38,RD3864598843442105,47.05,284.62,14.54,299.16,GPay,2024-07-01 22:40:20
auto share,completed,Jayanagar 7th Block East,HSR Layout Sector 7,85,RD5649318201424395,19.11,266.45,5.2,271.65,GPay,2024-06-27 13:20:20
cab economy,completed,Hebbal Kempapura,Banashankari 10th Stage,82,RD5422904338392344,7.64,509.7,33.55,543.25,Paytm,2024-07-02 13:36:20
auto,completed,MG Road Mayo Hall,Yelahanka Old Town,73,RD7640828185329990,16.52,500.44,24.69,525.13,Amazon Pay,2024-07-18 12:22:20
parcel,completed,HSR Layout Sector 2,MG Road Anil Kumble Circle,31,RD9327292008672021,16.22,832.88,42.7,875.58,Paytm,2024-07-03 21:31:20
auto share,completed,Marathahalli Central,Queens Road,102,RD8787647179232636,24.5,153.28,10.05,163.33,Paytm,2024-06-30 14:28:20
bike,completed,Jayanagar 1st Block,Yelahanka,24,RD7389090266796212,38.84,247.16,11.37,258.53,Paytm,2024-06-23 08:35:20
cab premium,completed,Whitefield,Mysore Road,54,RD8357982256573236,19.38,857.69,16.45,874.14,Cash,2024-07-21 22:02:20
auto,completed,Residency Road,Koramangala 4th Block,68,RD6613292501212518,44.1,261.4,12.61,274.01,Cash,2024-07-13 01:34:20
cab economy,completed,MG Road Cubbon Park,Hebbal Kempapura,32,RD7394181145421103,47.37,453.15,41.01,494.16,Amazon Pay,2024-07-16 03:43:20
cab premium,completed,JP Nagar Phase 3,Koramangala 10th Block,48,RD5112167625029645,5.09,724.84,14.04,738.88,QR scan,2024-07-23 20:48:20
parcel,completed,HSR Layout Sector 10 South,Jayanagar 10th Block,65,RD6262337560912653,17.72,767.83,43.75,811.58,GPay,2024-06-24 15:00:20
cab economy,completed,Hebbal Vidyaranyapura,Yelahanka New Town,13,RD9668745691092073,23.0,695.02,33.56,728.58,phonePy,2024-07-09 04:47:20
cab premium,completed,Hebbal,Banashankari 8th Stage,58,RD5317357524189126,23.41,456.85,19.15,476.0,Cash,2024-07-20 17:58:20
bike,completed,MG Road Brigade Road,HSR Layout Sector 8 South,98,RD7833698537249135,12.44,61.31,5.75,67.06,GPay,2024-07-06 13:07:20
cab economy,completed,Marathahalli Outer Ring Road,Hebbal Ganganagar,36,RD9928572852017944,11.45,744.58,45.68,790.26,Amazon Pay,2024-07-07 07:34:20
bike,completed,Queens Road,Chikpet,115,RD7952272022567439,13.64,181.87,49.68,231.55,GPay,2024-07-11 21:33:20
bike lite,completed,Shivajinagar,Anand Nagar,11,RD6922056690298512,39.63,835.34,17.94,853.28,Amazon Pay,2024-07-01 20:56:20
cab premium,completed,Rajajinagar 2nd Block,Marathahalli Bridge,39,RD9825012298515416,46.35,108.79,9.96,118.75,GPay,2024-07-07 13:29:20
bike,completed,Hebbal North,HSR Layout Sector 7 North,47,RD1427881607092938,21.02,649.29,5.77,655.06,Cash,2024-06-27 17:03:20
auto,completed,Malleshwaram 3rd Block,Marathahalli Central,101,RD5987522849866641,4.57,972.55,25.08,997.63,Paytm,2024-07-08 05:53:20
cab economy,completed,HAL,Electronic City Phase 2,91,RD4439235619852948,19.25,572.99,32.61,605.6,Paytm,2024-07-20 03:43:20
bike lite,completed,MG Road Central,MG Road Garuda Mall,22,RD9001467243391797,16.27,44.9,9.37,54.27,GPay,2024-07-18 17:47:20
cab economy,completed,Vasanth Nagar,MG Road Trinity Circle,80,RD5569331862116125,34.27,767.15,41.97,809.12,GPay,2024-07-19 17:57:20
auto share,completed,Hebbal Byatarayanapura,Cooke Town,114,RD7634958757924771,28.4,516.67,24.24,540.91,GPay,2024-07-06 13:37:20
bike lite,completed,Indiranagar,MG Road Cubbon Park,25,RD1502809654404183,9.76,814.05,19.72,833.77,Paytm,2024-07-12 14:13:20
bike,completed,Koramangala East,Brigade Road Brigade Gateway,26,RD9531970731086678,16.38,912.46,21.68,934.14,GPay,2024-07-08 18:54:20
auto share,completed,KR Puram,JP Nagar Phase 7,36,RD2712270770909332,35.87,21.11,16.37,37.48,phonePy,2024-07-22 22:45:20
bike lite,completed,Electronic City Phase 2,JP Nagar 10th Phase,6,RD5197172509068312,26.93,851.58,38.29,889.87,QR scan,2024-06-29 08:40:20
auto share,completed,Queens Road,Electronic City Phase 2,43,RD7297881094108052,31.22,121.76,9.06,130.82,Amazon Pay,2024-07-05 21:45:20
auto share,completed,Jayanagar 2nd Block,Chikpet,32,RD8409781270508563,37.81,209.94,45.83,255.77,QR scan,2024-07-04 15:37:20
cab premium,completed,Malleshwaram 9th Block,Bellandur,86,RD3279225386312945,1.52,267.9,25.6,293.5,Paytm,2024-07-16 16:02:20
auto,completed,Nandi Hills,JP Nagar South,107,RD1018128115409259,32.03,501.94,8.16,510.1,GPay,2024-07-22 20:39:20
bike lite,completed,Indiranagar 6th Stage,Panathur,80,RD3392893770426908,13.58,273.7,37.67,311.37,Cash,2024-07-16 02:18:20
auto,completed,Indiranagar South,Mathikere,47,RD7154025539850030,35.54,389.48,44.53,434.01,Amazon Pay,2024-07-18 14:24:20
parcel,completed,Marathahalli,Indiranagar Central,110,RD5488714999602984,29.44,267.96,4.11,272.07,Paytm,2024-07-12 22:20:20
auto share,completed,Whitefield Nallurhalli,Koramangala 2nd Block,44,RD2273189718324329,20.15,463.52,7.89,471.41,QR scan,2024-06-26 10:37:20
bike lite,completed,Brigade Road Garuda Mall,Shantinagar,93,RD9614823838452024,34.89,996.48,41.58,1038.06,Amazon Pay,2024-07-07 16:41:20
auto share,completed,Hoskote,Indiranagar 8th Stage,77,RD4702190349346781,16.7,22.69,3.99,26.68,QR scan,2024-07-09 18:22:20
cab premium,completed,Marathahalli East,Hebbal Sanjay Nagar,106,RD3242054397537782,41.97,792.98,35.17,828.15,Paytm,2024-07-11 10:44:20
auto,completed,Hebbal Ganganagar,Ulsoor,86,RD7414522684066690,33.55,937.62,9.1,946.72,Amazon Pay,2024-06-23 19:48:20
bike lite,completed,Whitefield Mahadevapura,Marathahalli Ring Road,116,RD8699397880604496,30.28,628.99,27.17,656.16,Paytm,2024-07-22 14:36:20
auto,completed,Brigade Road Central,Jayanagar 2nd Block East,16,RD6155623982187483,8.48,958.8,41.87,1000.67,Paytm,2024-07-05 10:13:20
cab economy,completed,Richmond Road,Whitefield Borewell Road,72,RD1244971658267396,45.27,352.05,30.03,382.08,phonePy,2024-07-14 16:47:20
cab economy,completed,Magadi Road,Koramangala 8th Block,63,RD6480576736094881,10.17,422.91,16.39,439.3,Paytm,2024-06-29 06:19:20
auto,completed,Brigade Road Richmond Road,Jayanagar 3rd Block East,95,RD5621533027087047,18.63,503.56,3.47,507.03,QR scan,2024-07-15 09:37:20
bike lite,completed,BTM Layout,MG Road Trinity Circle,74,RD8423331071095797,25.14,866.15,19.84,885.99,Cash,2024-07-07 22:05:20
parcel,completed,Malleshwaram 2nd Block,Seshadripuram,41,RD8933159464152582,12.18,663.69,13.98,677.67,phonePy,2024-07-23 02:32:20
bike,completed,Cooke Town,Murphy Town,94,RD3296509829633721,9.71,349.18,47.67,396.85,phonePy,2024-07-16 20:05:20
auto share,completed,HSR Layout Sector 5,Indiranagar,71,RD6086987151101215,10.62,627.94,41.03,668.97,QR scan,2024-07-22 23:12:20
bike lite,completed,Rajajinagar 1st Block,Whitefield Varthur Road,35,RD9046041368116688,47.54,411.66,45.34,457.0,Amazon Pay,2024-06-23 11:21:20
cab premium,completed,Marathahalli Colony,Brigade Road Bangalore Central,104,RD4943305950892721,2.31,108.81,25.58,134.39,QR scan,2024-07-21 04:19:20
bike lite,completed,Frazer Town,Indiranagar 9th Stage,31,RD9243542263916558,29.45,837.5,8.16,845.66,phonePy,2024-06-29 18:10:20
cab premium,completed,Brigade Road Eva Mall,Commercial Street,99,RD8915349154735007,9.94,136.89,27.61,164.5,QR scan,2024-06-28 15:16:20
bike,completed,Banashankari 10th Stage,JP Nagar Phase 10,8,RD6077953649394630,30.02,517.08,11.82,528.9,GPay,2024-07-09 22:20:20
cab premium,completed,Richmond Road,Kengeri,78,RD5708078887993670,38.37,652.38,24.97,677.35,phonePy,2024-07-04 16:38:20
bike lite,completed,Electronic City Phase 1,Hebbal Ganganagar,41,RD8527402493137844,39.19,376.69,13.45,390.14,GPay,2024-06-27 14:59:20
parcel,completed,Koramangala Central,Jayanagar 3rd Block,33,RD7934566698971057,19.46,735.56,32.35,767.91,phonePy,2024-07-02 03:09:20
bike,completed,JP Nagar South,HSR Layout Sector 10 South,56,RD7055323552247732,23.23,615.46,23.48,638.94,QR scan,2024-07-10 19:06:20
parcel,completed,Koramangala 2nd Block,Richmond Road,9,RD8399625197761827,49.56,876.56,4.55,881.11,QR scan,2024-07-20 08:01:20
auto,completed,Hebbal West,Electronic City East,59,RD6287201659154111,27.01,971.46,34.79,1006.25,Paytm,2024-07-21 04:28:20
auto,completed,HSR Layout Sector 8 South,Kalyan Nagar,44,RD7556861871164069,19.87,645.6,41.01,686.61,Paytm,2024-07-08 08:44:20
auto,completed,Brigade Road North,Koramangala,42,RD9555522706345482,49.58,754.94,38.43,793.37,phonePy,2024-07-12 11:05:20
cab economy,completed,Koramangala 6th Block,HSR Layout Sector 7,97,RD6919553697145154,4.79,603.59,5.27,608.86,Amazon Pay,2024-07-19 12:08:20
cab economy,completed,Panathur,MG Road Commercial Street,87,RD1151401431260637,36.03,615.06,33.8,648.86,QR scan,2024-07-07 18:10:20
parcel,completed,Kengeri,Brigade Road Residency Road,21,RD2908837586127994,45.45,532.84,46.74,579.58,Amazon Pay,2024-07-22 09:00:20
bike,completed,Jayanagar 4th Block East,Whitefield,75,RD7108987325260681,25.48,696.83,38.33,735.16,phonePy,2024-06-27 20:23:20
bike lite,completed,Jayanagar 2nd Block East,Palace Road,120,RD6421633520544490,2.63,656.55,41.7,698.25,Amazon Pay,2024-06-24 03:44:20
auto,completed,Jayanagar 4th Block East,Indiranagar 10th Stage,68,RD6313657527362853,26.65,265.03,33.65,298.68,Cash,2024-07-13 04:44:20
auto share,completed,Jayanagar 7th Block East,Banashankari 2nd Stage,93,RD9498347130688059,45.48,971.36,26.45,997.81,Cash,2024-07-05 07:28:20
cab economy,completed,Benson Town,Indiranagar East,60,RD7571657324274730,6.48,942.48,22.36,964.84,Cash,2024-07-19 19:10:20
cab premium,completed,Malleshwaram South,HSR Layout Sector 5,42,RD6151738039991882,48.12,630.54,4.34,634.88,Amazon Pay,2024-07-09 15:26:20
cab economy,completed,Yelahanka New Town,HSR Layout Sector 7,9,RD5336305172234347,13.23,546.72,8.12,554.84,Amazon Pay,2024-06-26 18:43:20
auto,completed,Jayanagar 8th Block East,Vasanth Nagar,50,RD9756594671959663,29.88,351.42,17.75,369.17,QR scan,2024-07-21 20:06:20
auto share,completed,HSR Layout Sector 10 North,JP Nagar Phase 5,75,RD8579224819067649,31.1,957.19,42.31,999.5,QR scan,2024-07-06 02:37:20
auto share,completed,Indiranagar 4th Stage,HSR Layout,106,RD6482069610092818,43.62,318.85,18.98,337.83,Paytm,2024-06-26 17:29:20
cab economy,completed,MG Road Anil Kumble Circle,JP Nagar Phase 6,28,RD8828053894241422,17.7,527.16,24.42,551.58,Amazon Pay,2024-06-26 23:10:20
auto share,completed,HSR Layout North,HSR Layout Sector 10,42,RD4298077741709756,24.23,328.25,28.71,356.96,phonePy,2024-07-17 00:09:20
auto share,completed,Ulsoor,Banashankari 9th Stage,42,RD5639009217417381,45.43,152.12,35.04,187.16,Cash,2024-07-11 23:44:20
auto share,completed,MG Road Cubbon Park,HSR Layout Sector 10,29,RD2302008188357439,16.32,777.2,26.41,803.61,Amazon Pay,2024-07-13 09:23:20
auto share,completed,Koramangala 2nd Block,JP Nagar 8th Phase,75,RD9389144401798696,10.42,405.7,7.59,413.29,Amazon Pay,2024-07-12 23:10:20
parcel,completed,Whitefield Kadugodi,HSR Layout Sector 5,7,RD7010660821306642,35.98,665.29,43.79,709.08,Paytm,2024-06-28 22:41:20
parcel,completed,Doddanekundi,Malleshwaram East,40,RD3841491375734961,30.69,144.16,7.56,151.72,Amazon Pay,2024-07-11 04:49:20
parcel,completed,Koramangala 9th Block,Jayanagar 6th Block East,83,RD2767696039889490,38.63,793.85,18.45,812.3,Cash,2024-07-09 04:33:20
cab economy,completed,Indiranagar 1st Stage,HSR Layout Sector 8,88,RD3550917084766334,14.33,392.74,22.36,415.1,Amazon Pay,2024-06-24 19:45:20
bike,completed,Mysore Road,HSR Layout Sector 1 North,7,RD7706232354995494,7.24,591.52,22.84,614.36,phonePy,2024-06-25 16:57:20
parcel,completed,MG Road East,Whitefield Channasandra,9,RD6962145559456355,4.78,969.92,18.2,988.12,phonePy,2024-06-29 21:20:20
bike lite,completed,HSR Layout Sector 8,Marathahalli West,27,RD6012364881822597,12.03,792.94,32.28,825.22,QR scan,2024-06-24 06:27:20
bike,completed,Wilson Garden,Marathahalli Bridge,75,RD5622889808366767,49.87,607.94,20.38,628.32,GPay,2024-07-01 14:30:20
parcel,completed,Palace Guttahalli,Jayanagar 1st Block,70,RD9636108096424745,18.65,164.84,35.09,199.93,Amazon Pay,2024-07-11 01:18:20
bike lite,completed,KR Puram,MG Road North,94,RD4349495733695946,47.25,829.21,16.41,845.62,GPay,2024-07-08 09:16:20
bike lite,completed,Brigade Road Brigade Gateway,Hebbal Vidyaranyapura,87,RD4169061620209478,3.21,537.03,4.75,541.78,Cash,2024-07-08 16:03:20
bike lite,completed,Electronic City Phase 1,Rajajinagar 3rd Block,54,RD9867859139753647,23.63,376.18,44.0,420.18,phonePy,2024-07-19 08:08:20
auto share,completed,Whitefield West,Brigade Road,30,RD3545520801346737,35.32,243.51,17.98,261.49,Amazon Pay,2024-07-17 13:36:20
bike,completed,Jayanagar 5th Block East,Bagmane Tech Park,87,RD4644863876941876,15.24,870.97,11.37,882.34,GPay,2024-07-23 00:22:20
parcel,completed,Brigade Road East,Hebbal Amruthahalli,64,RD6497839896889995,32.55,711.98,17.67,729.65,Cash,2024-07-10 10:09:20
parcel,completed,MG Road Mahatma Gandhi Road,Sarjapur Road,74,RD9699134648530892,21.32,543.23,13.64,556.87,Cash,2024-07-16 17:10:20
cab premium,completed,MG Road Naga Theatre,JP Nagar Phase 4,103,RD4680701491549980,26.61,631.18,45.09,676.27,QR scan,2024-06-30 06:04:20
auto share,completed,Rajajinagar,MG Road Central,110,RD1357679844285948,47.23,737.35,45.04,782.39,QR scan,2024-07-19 02:59:20
auto share,completed,Vignan Nagar,Jayanagar 10th Block East,113,RD5524718109796744,6.1,370.65,34.03,404.68,phonePy,2024-07-04 21:02:20
parcel,completed,Vignan Nagar,HSR Layout Sector 3,111,RD5792330358023873,8.47,662.58,31.12,693.7,QR scan,2024-07-21 15:17:20
cab premium,completed,Whitefield,Koramangala South,44,RD6896614206625580,8.5,359.33,23.04,382.37,QR scan,2024-07-16 07:11:20
auto,completed,Electronic City Phase 2,MG Road East,9,RD6795906435865808,32.6,145.29,18.42,163.71,Cash,2024-07-01 18:09:20
auto share,completed,Brigade Road Richmond Road,JP Nagar South,71,RD1231162767252286,16.82,810.09,5.58,815.67,Paytm,2024-07-12 03:10:20
cab economy,completed,Banashankari 3rd Stage,HSR Layout Sector 6 South,28,RD8847873948564927,8.02,364.16,21.78,385.94,Amazon Pay,2024-07-18 20:24:20
bike lite,completed,Neelasandra,Koramangala 8th Block,38,RD8834443082744257,11.08,502.25,14.89,517.14,Paytm,2024-07-03 11:27:20
auto,completed,Kengeri,HSR Layout,46,RD4468468477749731,27.14,106.99,37.73,144.72,Amazon Pay,2024-07-18 12:28:20
cab premium,completed,Bannerghatta Road,Brigade Road South,38,RD7522224965856327,45.13,568.66,17.76,586.42,GPay,2024-07-07 09:44:20
bike lite,completed,Jayanagar 5th Block,Banashankari 7th Stage,5,RD9158520783352231,26.76,564.77,35.49,600.26,Paytm,2024-06-27 05:10:20
cab premium,completed,Brigade Road Church Street,Whitefield Nallurhalli,104,RD1760490280269141,47.27,687.23,41.65,728.88,Amazon Pay,2024-07-13 17:37:20
bike lite,completed,Brigade Road Central,Koramangala 7th Block,116,RD2061337192823496,27.44,520.57,16.27,536.84,Cash,2024-07-06 00:50:20
auto,completed,Hebbal South,Indiranagar 6th Stage,102,RD6005711710135326,35.74,681.57,18.09,699.66,QR scan,2024-07-03 15:05:20
parcel,completed,Koramangala,Malleshwaram 7th Block,31,RD1499240233245450,2.95,207.44,15.35,222.79,QR scan,2024-06-25 06:41:20
cab premium,completed,Bellandur,Hebbal Vidyaranyapura,59,RD6112587915986847,1.42,95.04,0.19,95.23,phonePy,2024-07-04 10:22:20
auto share,completed,Jayanagar 9th Block,KR Puram,107,RD8697398151673479,5.67,833.13,28.06,861.19,Cash,2024-07-01 01:19:20
auto share,completed,Tumkur Road,Brigade Road Forum Mall,95,RD8752331360089322,28.47,319.83,46.27,366.1,Amazon Pay,2024-07-09 16:46:20
cab premium,completed,HSR Layout Sector 8,MG Road South,89,RD6618196222835711,24.23,876.85,25.2,902.05,GPay,2024-07-10 10:53:20
bike,completed,Malleshwaram Central,Indiranagar South,41,RD6715945601318547,15.16,557.55,39.46,597.01,QR scan,2024-06-23 21:37:20
auto share,completed,HSR Layout,Whitefield Nallurhalli,65,RD5067801389346773,32.57,348.68,25.65,374.33,Paytm,2024-07-08 05:56:20
bike,completed,Malleshwaram 5th Block,HSR Layout Sector 2 South,16,RD6873847250169699,18.84,453.32,28.69,482.01,Cash,2024-07-04 15:52:20
cab premium,completed,Whitefield Immadihalli,Whitefield Borewell Road,100,RD3749272739038232,13.78,14.94,29.62,44.56,Cash,2024-06-27 17:54:20
bike lite,completed,Whitefield Nallurhalli,Indiranagar 4th Stage,110,RD4350981423769199,24.39,300.73,38.74,339.47,GPay,2024-07-23 04:16:20
cab premium,completed,Jayanagar 2nd Block East,Malleshwaram 1st Block,119,RD8100943018780845,6.38,125.98,19.68,145.66,Paytm,2024-07-21 21:05:20
bike lite,completed,Whitefield Borewell Road,Indiranagar East,30,RD1777057176242081,8.92,607.29,0.79,608.08,Amazon Pay,2024-07-07 18:40:20
parcel,completed,MG Road Naga Theatre,Whitefield East,105,RD6419118406502850,13.44,989.53,18.82,1008.35,Paytm,2024-07-11 23:55:20
auto,completed,BTM Layout,Malleshwaram Central,64,RD3023077031257897,8.74,401.6,25.92,427.52,Amazon Pay,2024-07-05 21:10:20
cab economy,completed,Koramangala North,Hoskote,30,RD9359000456784820,33.13,815.75,4.29,820.04,Paytm,2024-07-08 21:39:20
bike lite,completed,Koramangala Central,Jayanagar 6th Block,48,RD1351164650375428,2.9,778.91,29.27,808.18,QR scan,2024-07-02 04:49:20
parcel,completed,Banashankari 1st Stage,Brigade Road Central,49,RD5177039220067894,39.74,657.61,31.72,689.33,Cash,2024-06-29 09:04:20
bike lite,completed,JP Nagar Phase 7,MG Road Mahatma Gandhi Road,41,RD5770008003688840,3.96,195.02,12.59,207.61,QR scan,2024-07-22 10:38:20
auto,completed,Whitefield Central,HSR Layout Sector 2 South,9,RD3621809506046443,31.55,988.72,36.29,1025.01,QR scan,2024-07-18 01:59:20
cab premium,completed,Malleshwaram 9th Block,BTM Layout 1st Stage,7,RD7323647541293075,41.39,547.18,29.45,576.63,GPay,2024-06-29 08:42:20
bike,completed,Hebbal Dasarahalli,Shivajinagar,7,RD4105539865241404,12.33,417.57,6.12,423.69,Amazon Pay,2024-07-21 13:24:20
bike lite,completed,Jayanagar 10th Block,Vasanth Nagar,115,RD8614156830334761,30.66,153.82,49.75,203.57,Cash,2024-07-11 06:22:20
cab economy,completed,Indiranagar North,Malleshwaram,31,RD9671111796980873,23.03,378.74,8.0,386.74,phonePy,2024-07-17 20:59:20
parcel,completed,Indiranagar 6th Stage,Malleshwaram 8th Block,46,RD7927970506658894,11.72,178.48,3.52,182.0,Paytm,2024-06-30 19:25:20
parcel,completed,Jayanagar 6th Block,Indiranagar 7th Stage,23,RD3723674926241425,30.8,19.75,25.9,45.65,QR scan,2024-06-30 23:51:20
auto share,completed,JP Nagar East,JP Nagar Phase 5,38,RD1557011444832844,8.65,294.84,11.56,306.4,QR scan,2024-06-25 23:28:20
bike,completed,Malleshwaram West,Banashankari 9th Stage,31,RD5056209323439798,32.67,80.35,38.09,118.44,QR scan,2024-07-21 02:50:20
auto share,completed,HSR Layout Sector 8 North,Brigade Road Garuda Mall,101,RD7059201169255959,42.76,306.94,33.18,340.12,phonePy,2024-07-20 03:52:20
auto,completed,MG Road East,HSR Layout Sector 4,94,RD8142385445167576,16.47,715.01,43.99,759.0,Paytm,2024-07-01 04:16:20
auto,completed,HSR Layout Sector 3 South,Vidyaranyapura,106,RD3140746578385523,44.48,881.13,27.01,908.14,GPay,2024-07-20 08:37:20
cab premium,completed,HSR Layout Sector 5,Whitefield Kadugodi,97,RD5285450995376353,3.14,688.94,21.73,710.67,phonePy,2024-06-30 16:04:20
auto,completed,Indiranagar 2nd Stage,Hebbal Sanjay Nagar,9,RD3498200218901878,35.14,387.36,28.27,415.63,Amazon Pay,2024-07-07 10:56:20
bike,completed,Electronic City,Indiranagar,11,RD1281460681241167,33.81,131.91,6.05,137.96,Paytm,2024-07-16 03:55:20
cab economy,completed,Indiranagar 6th Stage,Banashankari 10th Stage,75,RD7664917503699637,9.37,894.43,17.67,912.1,GPay,2024-07-01 19:08:20
auto share,completed,MG Road Anil Kumble Circle,HSR Layout Central,70,RD3156811144952837,47.88,29.63,49.74,79.37,QR scan,2024-07-22 01:53:20
bike,completed,HSR Layout Sector 6 South,MG Road Naga Theatre,94,RD5484095902997971,28.56,683.05,3.36,686.41,GPay,2024-06-27 02:44:20
parcel,completed,Malleshwaram North,Palace Guttahalli,91,RD8928934356376852,36.51,941.64,26.84,968.48,QR scan,2024-07-12 14:32:20
cab premium,completed,HSR Layout Sector 8,HSR Layout Sector 1 North,96,RD6590756956391775,4.36,790.12,10.01,800.13,GPay,2024-06-27 07:06:20
auto,completed,MG Road South,Vasanth Nagar,56,RD6035603984932144,49.86,535.07,40.5,575.57,Paytm,2024-07-05 17:05:20
bike,completed,Jayanagar 10th Block,Palace Guttahalli,24,RD7911406779024414,7.05,19.34,47.48,66.82,GPay,2024-07-04 12:39:20
auto,completed,Malleshwaram 2nd Block,Hoskote,21,RD7563365132719729,7.78,807.79,13.57,821.36,phonePy,2024-07-16 18:00:20
parcel,completed,Jayanagar 5th Block East,HSR Layout Sector 7 South,23,RD5707136730199417,14.08,797.7,45.18,842.88,Paytm,2024-07-06 13:32:20
parcel,completed,HSR Layout Sector 6,JP Nagar 9th Phase,16,RD8778149344417577,29.11,557.16,21.57,578.73,QR scan,2024-07-11 12:58:20
auto share,completed,Jayanagar,Sadashivanagar,116,RD6570923380482791,43.07,700.63,22.61,723.24,Cash,2024-07-11 11:57:20
cab economy,completed,Yelahanka New Town,HSR Layout Sector 8 North,33,RD9575997560486916,25.93,732.83,18.07,750.9,Paytm,2024-07-15 02:20:20
bike lite,completed,Banashankari 7th Stage,Cubbon Road,61,RD3822876776499542,4.56,634.0,46.29,680.29,Cash,2024-06-26 23:33:20
bike lite,completed,Marathahalli East,Hebbal Byatarayanapura,62,RD4131688155050730,25.14,63.06,9.29,72.35,GPay,2024-07-18 20:39:20
cab economy,completed,MG Road Mahatma Gandhi Road,Whitefield Kadugodi,111,RD9684651381538029,37.74,147.01,41.71,188.72,Paytm,2024-07-15 07:24:20
parcel,completed,JP Nagar Phase 2,Yelahanka Old Town,23,RD1346027217868271,14.21,244.56,18.83,263.39,Paytm,2024-06-24 15:31:20
bike lite,completed,Banashankari 8th Stage,Indiranagar 5th Stage,117,RD4318684517324355,2.42,684.58,48.91,733.49,Amazon Pay,2024-07-15 14:10:20
auto share,completed,Indiranagar 8th Stage,HSR Layout Sector 6,19,RD2129395579538800,23.57,915.26,12.9,928.16,Paytm,2024-07-06 06:25:20
bike lite,completed,Brigade Road Eva Mall,Malleshwaram East,51,RD4658173882832419,19.86,934.91,33.28,968.19,phonePy,2024-07-19 01:48:20
bike lite,completed,Sarjapur Road,Bannerghatta Road,114,RD2490662791384637,24.49,206.72,25.9,232.62,GPay,2024-07-05 18:43:20
bike lite,completed,JP Nagar East,Indiranagar 2nd Stage,36,RD2993221566298965,38.17,472.87,17.63,490.5,GPay,2024-07-11 21:29:20
bike lite,completed,JP Nagar Phase 8,Brigade Road Mota Royal Arcade,76,RD7581068248574217,16.45,826.5,2.52,829.02,phonePy,2024-07-15 02:26:20
parcel,completed,Jayanagar 9th Block East,Jayanagar,27,RD6014019246812093,41.76,523.5,10.72,534.22,GPay,2024-07-03 05:50:20
auto share,completed,Banashankari 1st Stage,MG Road Garuda Mall,96,RD1456892438605855,19.17,595.0,44.06,639.06,Paytm,2024-07-10 14:52:20
cab premium,completed,Kengeri,KR Puram,89,RD3499355665734981,38.18,653.59,11.46,665.05,GPay,2024-07-11 03:33:20
bike,completed,JP Nagar Phase 3,Koramangala 9th Block,16,RD2235213663070843,2.58,25.11,20.57,45.68,Cash,2024-06-24 01:16:20
auto,completed,Indiranagar 3rd Stage,Koramangala Central,19,RD6938268324614686,21.32,681.95,27.24,709.19,Cash,2024-07-07 23:44:20
auto share,completed,Whitefield Central,Koramangala 5th Block,114,RD5985306493902019,30.16,801.7,38.29,839.99,QR scan,2024-07-02 14:05:20
